layer	kind	apple_style	note
rail	rail	Railway-Japan.Light	N02 centre lines via transit.pmtiles; surface railways
rail-shinkansen	rail	Railway-Japan.Bullet-Light	N02 新幹線 -> Apple Bullet variant (white core, blue dashed edge)
geoline-tropics	geoline	Geolines-Tropics.Explore-Light-Elevated	tropics from map/data/graticule.geojson; the globe sheet has no line style, the flat sheet Geolines-* draws them (RENDER-PIPELINE §7.13)
geoline-equator	geoline	Geolines-Equator.Explore-Light-Elevated	equator, same source
boundary-state	boundary	Border-State.Explore-Light	alpha from fillColor; prop 12 not used (v6)
boundary-country	boundary	Border-Country.Non-Disputed-Light	
label-road-minor	roadname	Line-LocalRoad-MinorRoad.Light-JPN-Elevated	road label numbers come from the road style itself
label-road-secondary	roadname	Line-ConnectorRoad.Light-JPN-Elevated	
label-road-primary	roadname	Line-Highway.Light-JPN-Elevated	
label-road-motorway	roadname	Line-FreewayControlled.Light-JPN-Elevated	
label-water-lake	watername	Lake-Label.Zoom9-Light-Elevated	Zoom9 variant for city-scale lakes (inferred)
label-water-ocean	watername	Ocean-Points.Large-Explore-Light-Elevated	Large size class (inferred)
label-ward	place	SubMuni-Ward.Light	suburb/quarter ~ 区 ward (inferred)
label-village	place	City-Label-LMZ-12.Light	LMZ = label min zoom; village ~ LMZ-12 (inferred)
label-town	place	City-Label-LMZ-09.Light	town ~ LMZ-09 (inferred)
label-city	place	City-Label-LMZ-07.Light	city rank>3 ~ LMZ-07 (inferred)
label-city-large	place	City-Label-LMZ-05.Light	city rank<=3 ~ LMZ-05 (inferred)
label-state	place	State-Label-Small.Light	Japanese prefectures ~ Small size class: visible Apple z7-10 (Medium z6-9 would show 41 names at the Japan view where Maps shows none) (inferred)
label-country	place	Country-Label-Medium.Light	
background	bg	Landcover-Ground.Dark-Elevated	land fill = background (OpenMapTiles has no land polygon)
landcover-wood	fill	Landcover-Forest.Dark-Explore	OpenMapTiles wood ~ Apple Forest (inferred)
landcover-grass	fill	Landcover-Herbaceous.Dark-Explore	grass/farmland ~ Herbaceous (inferred)
landcover-sand	fill	Landcover-Sand.Dark-Explore	
landuse-commercial	fill	CommercialPolygon.Elevated-Dark	
landuse-hospital	fill	HospitalPolygon.Elevated-Dark	
landuse-school	fill	UniversityPolygon.Elevated-Dark	school ~ University (inferred)
landuse-cemetery	fill	CemeteryPolygon.Elevated-Dark	
landuse-stadium	fill	StadiumPolygon.Elevated-Dark	pitch/playground ~ Stadium (inferred)
park	fill	ParkPolygon.Elevated-Dark	
landuse-park	fill	ParkPolygon.Elevated-Dark	
aeroway	fill	AirportPolygon.Explore-Dark	
water	fill	Landcover-Water.Dark-Explore	
coast-glow	glow	Coastline-Glow-Dark-Base	glow on the water side of the ocean polygon edge: width prop 55 (Coastline-Glow-Base), colour prop 57; OpenMapTiles has no coastline line, the ocean polygon outline stands in
waterway	line	Rivers-Dark-Elevated-Base	no dotted leaf for rivers; Flat-Base variant (inferred)
building	building	BuildingFootprint.Dark-Explore	fill = buildingFlatColor(86), outline = strokeColor
road-path	road	Line-PrivatePath.Dark-Elevated	path/track ~ PrivatePath (inferred)
road-service	road	Line-ServiceRoad.Dark-Elevated	
road-minor	road	Line-LocalRoad-MinorRoad.Dark-JPN-Elevated	
road-tertiary	road	Line-LocalMajorRoad.Dark-JPN-Elevated	tertiary ~ LocalMajorRoad (inferred)
road-secondary	road	Line-ConnectorRoad.Dark-JPN-Elevated	secondary ~ ConnectorRoad (inferred)
road-primary	road	Line-Highway.Dark-JPN-Elevated	primary ~ Highway (inferred)
road-trunk	road	Line-MajorHighway.Dark-JPN-Elevated	trunk ~ MajorHighway (inferred)
road-motorway	road	Line-FreewayControlled.Dark-JPN-Elevated	motorway ~ FreewayControlled
road-kokudo	road	Line-Highway.Dark-JPN-ClassOne	国道 (national routes) drawn from transportation_name geometry: OpenMapTiles transportation has no ref; ClassOne purple = Apple JPN-ClassOne (inferred name-prefix test)
rail	rail	Railway-Japan.Dark	N02 centre lines via transit.pmtiles; surface railways
rail-shinkansen	rail	Railway-Japan.Bullet-Dark	N02 新幹線 -> Apple Bullet variant (white core, blue dashed edge)
geoline-tropics	geoline	Geolines-Tropics.Explore-Dark-Elevated	tropics from map/data/graticule.geojson; the globe sheet has no line style, the flat sheet Geolines-* draws them (RENDER-PIPELINE §7.13)
geoline-equator	geoline	Geolines-Equator.Explore-Dark-Elevated	equator, same source
boundary-state	boundary	Border-State.Explore-Dark	alpha from fillColor; prop 12 not used (v6)
boundary-country	boundary	Border-Country.Non-Disputed-Dark	
label-road-minor	roadname	Line-LocalRoad-MinorRoad.Dark-JPN-Elevated	road label numbers come from the road style itself
label-road-secondary	roadname	Line-ConnectorRoad.Dark-JPN-Elevated	
label-road-primary	roadname	Line-Highway.Dark-JPN-Elevated	
label-road-motorway	roadname	Line-FreewayControlled.Dark-JPN-Elevated	
label-water-lake	watername	Lake-Label.Zoom9-Dark-Elevated	Zoom9 variant for city-scale lakes (inferred)
label-water-ocean	watername	Ocean-Points.Large-Explore-Dark-Elevated	Large size class (inferred)
label-ward	place	SubMuni-Ward.Dark	suburb/quarter ~ 区 ward (inferred)
label-village	place	City-Label-LMZ-12.Dark	LMZ = label min zoom; village ~ LMZ-12 (inferred)
label-town	place	City-Label-LMZ-09.Dark	town ~ LMZ-09 (inferred)
label-city	place	City-Label-LMZ-07.Dark	city rank>3 ~ LMZ-07 (inferred)
label-city-large	place	City-Label-LMZ-05.Dark	city rank<=3 ~ LMZ-05 (inferred)
label-state	place	State-Label-Small.Dark	Japanese prefectures ~ Small size class: visible Apple z7-10 (Medium z6-9 would show 41 names at the Japan view where Maps shows none) (inferred)
label-country	place	Country-Label-Medium.Dark	
